resolution,year,sciulli,domach,leber,strassburger,martin,mccormick_barron,murrell,bey,total
No. 57 of 2023,2023,0,0,0,0,0,0,1,0,1
No. 60 of 2023,2023,1,0,0,0,0,0,0,0,1
No. 62 of 2023,2023,0,0,0,2,0,1,0,0,3
No. 63 of 2023,2023,0,0,0,1,0,0,0,0,1
No. 65 of 2023,2023,1,0,0,0,0,0,0,0,1
No. 67 of 2023,2023,0,0,0,0,0,0,1,0,1
No. 76 of 2023,2023,0,0,0,0,0,0,1,0,1
No. 80 of 2023,2023,0,2,0,0,0,0,0,0,2
No. 82 of 2023,2023,0,0,0,0,1,0,0,0,1
No. 87 of 2023,2023,0,0,0,0,0,0,1,0,1
No. 91 of 2023,2023,0,0,0,0,1,0,0,0,1
No. 95 of 2023,2023,0,0,0,0,0,0,1,0,1
No. 97 of 2023,2023,0,0,0,0,1,0,0,0,1
No. 7 of 2024,2024,0,0,0,0,0,0,1,0,1
No. 15 of 2024,2024,1,0,0,0,0,0,0,0,1
No. 24 of 2024,2024,0,1,0,0,0,0,0,0,1
No. 28 of 2024,2024,1,0,0,0,0,0,0,0,1
No. 29 of 2024,2024,0,0,1,0,0,0,0,0,1
No. 30 of 2024,2024,1,0,0,0,0,0,0,0,1
No. 33 of 2024,2024,1,0,0,0,0,0,0,0,1
No. 34 of 2024,2024,1,1,1,0,0,0,0,0,3
No. 39 of 2024,2024,1,0,0,0,1,0,0,0,2
No. 42 of 2024,2024,1,0,0,0,0,0,0,0,1
No. 43 of 2024,2024,0,0,0,0,1,0,0,0,1
No. 45 of 2024,2024,1,0,0,0,0,0,0,0,1
No. 46 of 2024,2024,0,0,1,0,0,0,0,0,1
No. 47 of 2024,2024,0,1,0,0,0,0,0,0,1
No. 48 of 2024,2024,0,0,0,0,0,0,0,1,1
No. 49 of 2024,2024,1,0,0,0,0,0,0,0,1
No. 51 of 2024,2024,0,1,0,0,0,0,0,0,1
No. 55 of 2024,2024,1,0,0,0,0,0,0,0,1
No. 56 of 2024,2024,1,0,0,0,0,0,0,0,1
No. 57 of 2024,2024,1,0,0,0,0,0,0,0,1
No. 61 of 2024,2024,1,2,0,0,0,0,0,0,3
No. 62 of 2024,2024,2,0,0,0,0,0,0,0,2
No. 63 of 2024,2024,0,0,0,0,0,1,0,0,1
No. 65 of 2024,2024,0,0,0,0,0,1,0,0,1
No. 66 of 2024,2024,1,0,0,0,0,0,0,0,1
No. 68 of 2024,2024,0,0,1,0,0,0,0,0,1
No. 70 of 2024,2024,1,0,0,0,0,0,0,0,1
No. 72 of 2024,2024,0,1,0,0,0,0,0,0,1
No. 74 of 2024,2024,4,2,0,0,0,0,0,0,6
No. 80 of 2024,2024,1,0,0,0,0,0,0,0,1
No. 82 of 2024,2024,1,2,0,0,0,0,0,0,3
No. 83 of 2024,2024,0,0,0,1,0,0,0,0,1
No. 84 of 2024,2024,0,1,0,0,0,0,0,0,1
No. 3 of 2025,2025,1,0,0,0,0,0,0,0,1
No. 5 of 2025,2025,0,1,0,0,0,0,0,0,1
No. 9 of 2025,2025,1,0,0,0,0,0,0,0,1
No. 14 of 2025,2025,0,1,0,0,0,0,0,0,1
No. 15 of 2025,2025,2,0,0,0,0,0,0,0,2
No. 18 of 2025,2025,1,0,0,0,0,0,0,0,1
No. 19 of 2025,2025,1,0,0,0,0,0,0,0,1
No. 20 of 2025,2025,0,0,1,0,0,0,0,0,1
No. 21 of 2025,2025,1,0,0,0,0,0,0,0,1
No. 26 of 2025,2025,1,0,0,0,0,0,0,0,1
No. 28 of 2025,2025,1,0,0,0,0,0,0,0,1
No. 29 of 2025,2025,1,0,0,0,0,0,0,0,1
No. 30 of 2025,2025,2,0,0,0,0,0,0,0,2
No. 38 of 2025,2025,1,0,0,0,0,0,0,0,1
No. 48 of 2025,2025,1,0,0,1,0,0,0,0,2
No. 49 of 2025,2025,2,0,0,0,0,0,0,0,2
No. 57 of 2025,2025,0,0,1,0,0,0,0,0,1
No. 58 of 2025,2025,0,0,0,0,0,1,0,0,1
No. 59 of 2025,2025,0,0,2,0,0,0,0,0,2
No. 65 of 2025,2025,1,0,0,0,0,0,0,0,1
No. 72 of 2025,2025,1,0,0,0,0,0,0,0,1
No. 73 of 2025,2025,0,0,1,0,0,1,0,0,2
No. 78 of 2025,2025,0,0,1,0,0,0,0,0,1
No. 82 of 2025,2025,0,2,0,0,0,0,0,0,2
No. 83 of 2025,2025,0,0,1,0,0,0,0,0,1
No. 84 of 2025,2025,0,1,0,0,0,1,0,0,2
